agency,n_recompetes,n_retained,retention_rate,ci_low,ci_high
DHS,757,239,0.3157199471598415,0.2836102796866113,0.34969046021727007
Navy,1584,465,0.2935606060606061,0.2716553614786563,0.3164647267285554
HHS,481,139,0.288981288981289,0.2502704440270154,0.33103598860816436
Army,1920,514,0.2677083333333333,0.2483817112863141,0.2879626190064783
VA,877,233,0.26567844925883694,0.23751352801925513,0.29588718117276763
GSA,217,53,0.24423963133640553,0.19185002489386427,0.30552695951501324
Air Force,1380,337,0.24420289855072463,0.22226671329877598,0.26755923786065006
