agency,n_recompetes,n_retained,retention_rate,ci_low,ci_high
DHS,702,365,0.51994301994302,0.48297742469168203,0.5566915401305059
Air Force,2358,1055,0.4474130619168787,0.4274455026650745,0.46755168308005574
HHS,886,392,0.44243792325056436,0.4100519055695234,0.47532093361558225
VA,2173,925,0.42567878508973767,0.40503873000815904,0.44658114855893427
Army,4846,1985,0.4096161782913743,0.3958474566618537,0.4235280822216355
GSA,359,144,0.4011142061281337,0.35171948198003655,0.4526027687606481
Navy,2904,1071,0.368801652892562,0.3514376521578313,0.38651229773075835
