agency,n_recompetes,n_retained,retention_rate,ci_low,ci_high
HHS,187,75,0.40106951871657753,0.33349637791378145,0.47262541433910893
Air Force,537,183,0.3407821229050279,0.3019516737698968,0.3818743399146571
Navy,523,168,0.32122370936902483,0.28263328872708876,0.3624212208048882
Army,1488,444,0.29838709677419356,0.27568240210189104,0.32213008899598866
GSA,84,24,0.2857142857142857,0.2001503412161277,0.39002039953301215
DHS,94,26,0.2765957446808511,0.19630019728999878,0.37443392190409563
VA,621,153,0.2463768115942029,0.2141138318551677,0.28175828809903486
