agency,n_recompetes,n_retained,retention_rate,ci_low,ci_high
DHS,1627,623,0.3829133374308543,0.3595954811506382,0.4067827906676956
Air Force,5524,1919,0.34739319333816077,0.3349469747933045,0.3600515137560234
VA,5439,1759,0.32340503769075196,0.3111018578952518,0.33595749253157003
Army,12311,3946,0.3205263585411421,0.31233978760690395,0.3288248985340756
HHS,2423,766,0.3161370202228642,0.29792671060026515,0.3349294050056653
GSA,891,269,0.30190796857463525,0.2726669725642879,0.3328497404574618
Navy,7431,2157,0.29027048849414616,0.28006112451850823,0.30069657996461946
