grouping,n_consecutive,consecutive,n_nearest,nearest,n_unambiguous,unambiguous
agency + PSC (as briefed),21098,0.21978386576926723,9711,0.26928225723406446,7216,0.27439024390243905
+ contracting office,40791,0.28398421220367237,18561,0.37449490867948926,15136,0.37982293868921774
+ NAICS,35646,0.3209055714526174,16775,0.4100149031296572,14228,0.4172757942086028
